,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
1212,IND,8,54081,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,3437,15.73494326
1422,LGA,5,54018,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,1,10691,5.052661117
296,BOS,9,53935,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,1,11098,4.859884664
2362,SMF,3,53602,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3344,16.02930622
2364,SMF,7,53377,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3676,14.52040261
2365,SMF,4,53345,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3297,16.17986048
507,CLE,8,53311,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4713,11.31147889
1860,ONT,2,53060,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,2724,19.47870778
2168,SAN,9,52933,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,6821,7.760299076
657,DCA,3,52924,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,8226,6.433746657
2368,SMF,12,52635,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3138,16.77342256
1628,MIA,10,52405,Miami International,Miami,FL,USA,25.79325,-80.29055556,1,5291,9.904554905
617,DAL,7,52345,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4248,12.3222693
1575,MDW,12,51948,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,3925,13.23515924
622,DAL,1,51907,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4264,12.17331144
392,BUR,2,51837,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2088,24.82614943
1588,MEM,4,51667,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,4830,10.69710145
618,DAL,5,51398,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4209,12.21145165
1930,PDX,6,51116,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4823,10.59838275
2100,RNO,1,51101,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,2351,21.73585708
2269,SFO,5,51004,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,1,10822,4.712992053
279,BNA,3,50847,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4969,10.23284363
900,FLL,5,50838,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,1,4649,10.93525489
277,BNA,2,50706,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4524,11.20822281
2178,SAT,6,50495,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,1,3126,16.15323097
1571,MDW,5,50484,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4292,11.76234856
1570,MDW,4,50061,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4149,12.06579899
25,ABQ,1,49991,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3001,16.65811396
1148,IAD,9,49882,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4680,10.65854701
102,ANC,8,49622,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,2512,19.75398089
